status_name,icon_file,type,description,tag
받는 물리 피해량 감소,버프_받는 물리 피해량 감소.webp,강화,받는 물리 피해량이 감소한다,받는 물리 피해량 감소
받는 보호막 효과 증가,버프_받는 보호막 효과 증가.webp,강화,받는 보호막량이 증가한다,받는 보호막 효과 증가
받는 스킬 피해량 감소,버프_받는 스킬 피해량 감소.webp,강화,적에게 받는 스킬 피해량이 감소한다,받는 스킬 피해량 감소
받는 피해량 감소,버프_받는 피해량 감소.webp,강화,받는 모든 피해량이 감소한다,받는 피해량 감소
받는 회복량 증가,버프_받는 회복량 증가.webp,강화,받는 회복량이 증가한다,받는 회복량 증가
백수공권,버프_백수공권.webp,특수,"기본 공격이 변경되며, 매초 체력을 회복한다. SP회복 관련 효과를 받지 않는다","기본 공격 강화,회복"
번개 자극,버프_번개 자극.webp,디버프 면역,"눈가림,중독,쓰라림,기절,넉백,변이에 면역이 된다",디버프 면역
보호막,버프_보호막.webp,회복,피해를 흡수하는 보호막을 얻는다,보호막
보호막(개전),버프_보호막(개전).webp,특수,전투 시작 시 보호막을 부여한다,"개전,보호막"
부유함,버프_부유함.webp,특수,30중첩 보유 시 고학년 스킬 효과가 강화된다,고학년 스킬 피해량 증가
분산,버프_분산.webp,특수,"다른 분산 보유 아군과 피해를 나누어 입는다. 죠안이 분산을 부여한 아군의 공격력을 증가시키고, 받는 피해량을 감소시킨다","공격력 증가,받는 피해량 감소"
비취옥,버프_비취옥.webp,특수,제이드의 마법 공격력과 저학년 피해량을 증가시킨다. 어사이드 ★2 발현 시 효과가 추가된다 ,"마법 공격력 증가,저학년 스킬 피해량 증가"
비취옥 강화,버프_비취옥 강화.webp,특수,"비취옥을 강화하여 스킬 피해량 증가,공격 속도 증가,최대 체력 증가,받는 피해량 감소 효과를 추가한다","스킬 피해량 증가,공격 속도 증가,최대 체력 증가,받는 피해량 감소"
빌런의 수하,버프_빌런의 수하.webp,회복,가장 가까운 전열 아군을 빌런의 수하로 지정하여 매초 체력을 회복시킨다,회복
스킬 피해량 증가,버프_스킬 피해량 증가.webp,강화,적에게 입히는 스킬 피해량이 증가한다,스킬 피해량 증가
얄미운 토끼씨,버프_얄미운 토끼씨.webp,회복,피코라가 아군을 치장하여 최대 체력을 증가시키고 체력을 회복시킨다,"최대 체력 증가,회복"
영속,버프_영속.webp,특수,전투 불능이 되면 일정 시간 동안 모든 체력을 회복한다,"피해 무효, 회복"
영웅심,버프_영웅심.webp,특수,"어사이드 2 발현 시, 고학년 사용 후 영웅심 상태가 되어 기본 공격에 기절, 범위 공격, 아군 회복 효과가 추가된다","기본 공격 강화,회복"
오버드라이브,버프_오버드라이브.webp,특수,"공격 속도, 일반 공격 피해가 증가한다","공격 속도 증가,일반 공격 피해량 증가"
의리,버프_의리.webp,특수,웨이브 시작 시 가장 공격력이 높은 아군의 최대 체력을 증가시킨다,"최대 체력 증가,개전"
일반 공격 피해량 증가,버프_일반 공격 피해량 증가.webp,강화,일반 공격 피해량이 증가한다,일반 공격 피해량 증가
잠입 취재 중!,버프_잠입 취재 중!.webp,특수,하이디가 상자에 숨고 기본 공격 피해량이 증가한다. 잠입 취재 중 상태에서는 SP회복이 중단된다.,기본 공격 강화
존속,버프_존속.webp,강화,"물리 공격력, 마법 공격력, 최대 체력이 증가한다","물리 공격력 증가,마법 공격력 증가, 최대 체력 증가"
집착,버프_집착.webp,특수,네티가 기본 공격대신 강화공격을 사용하고 공격 속도가 증가한다,"기본 공격 강화,공격 속도 증가"
초 집중 취재,버프_초 집중 취재.webp,강화,적 하나를 특종감으로 지정하고 기본 공격 사거리가 증가하며 도발과 호기심에 면역이 된다,"기본 공격 강화,디버프 면역"
최대 체력 증가,버프_최대 체력 증가.webp,강화,최대 체력이 증가한다,최대 체력 증가
최대 출력!,버프_최대 출력!.webp,특수,공격 속도와 이동속도가 증가한다,"공격 속도 증가,이동속도 증가"
치명 피해 증가,버프_치명 피해 증가.webp,강화,치명타 피해량이 증가한다,치명 피해 증가
치명타 저항 증가,버프_치명타 저항 증가.webp,강화,치명타를 입을 확률이 감소한다,치명타 저항 증가
치명타 증가,버프_치명타 증가.webp,강화,치명타를 입힐 확률이 증가한다,치명타 증가
치유량 증가,버프_치유량 증가.webp,강화,아군에게 주는 치유량이 증가한다,치유량 증가
피코라 스티커,버프_피코라 스티커.webp,특수,강화 공격 후 남은 체력이 가장 낮은 아군에게 피코라 스티커를 붙여 체력을 회복시키고 피해량을 증가시킨다,"회복,피해량 증가"
훈련의 성과,버프_훈련의 성과.webp,특수,"강화 공격이 추가로 강화되고, 최대 체력이 증가한다","일반 공격 피해량 증가,최대 체력 증가"
SP 회복,버프_아이콘 없음.webp,회복,현재 SP 잔량이 증가한다,SP 회복
SP 회복량 증가,버프_아이콘 없음.webp,강화,SP 자연 회복량이 증가한다,SP 회복량 증가
감전 면역,버프_아이콘 없음.webp,디버프 면역,감전에 면역이 된다,디버프 면역
건강해진 토끼씨,버프_건강해진 토끼씨.webp,강화,"피코라가 스티커를 붙여 아군을 회복 시키고, 치명타 저항 증가,받는 회복량 증가,받는 물리 피해량 감소 버프를 부여한다","회복,치명타 저항 증가,받는 회복량 증가,받는 물리 피해량 감소"
고학년 범위 증가,버프_아이콘 없음.webp,특수,폴랑의 고학년 범위가 1개행에서 파티 전체로 강화된다,최대 체력 증가
고학년 스킬 피해량 증가,버프_아이콘 없음.webp,강화,고학년 스킬의 피해량이 증가한다,고학년 스킬 피해량 증가
고학년 쿨타임 감소,버프_아이콘 없음.webp,강화,고학년 재사용 대기시간이 감소한다,고학년 쿨타임 감소
고학년 쿨타임 초기화,버프_아이콘 없음.webp,강화,전투 시작 시 고학년 쿨타임이 0초가 된다,"고학년 쿨타임 초기화,개전"
공격력 복사,버프_아이콘 없음.webp,특수,가장 공격력이 높은 아군의 공격력을 일정 비율만큼 복사한다,공격력 증가
공격력 부여,버프_아이콘 없음.webp,강화,지배의 영역 위의 아군 중 가장 공격력이 높은 아군의 공격력에 비례하여 영역 위의 모든 아군에게 공격력을 부여한다,공격력 증가
광기 성격 강화,버프_광기 성격 강화.webp,특수,"용기와 광기 성격 아군의 최대 체력,치명타,치명 피해를 증가시킨다","최대 체력 증가,치명타 증가,치명 피해 증가"
기절 면역,버프_아이콘 없음.webp,디버프 면역,기절에 면역이 된다,디버프 면역
기절 지속 시간 감소,버프_아이콘 없음.webp,디버프 면역,아군에게 걸리는 기절 지속 시간을 감소시킨다,디버프 면역
기절 해제,버프_아이콘 없음.webp,디버프 해제,기절 상태이상을 해제한다,기절 해제
꿈결 형상,버프_아이콘 없음.webp,특수,죠안이 꿈결 형상 상태가 되어 4번째 공격마다 같은 열의 아군에게게 보호막과 추가 효과를 부여한다,"기본 공격 강화,보호막,받는 피해량 감소,피해량 증가,공격 속도 증가"
넉백 면역,버프_아이콘 없음.webp,디버프 면역,넉백에 면역이 된다,디버프 면역
디버프 면역,버프_아이콘 없음.webp,디버프 면역,"감전,화상,중독,변이,기절,넉백,도발 등 모든 상태이상에 면역이 된다",디버프 면역
디버프 해제,버프_아이콘 없음.webp,디버프 해제,아군이 받는 해로운 효과를 무작위로 해제한다,디버프 해제
모든 행동 가속,버프_아이콘 없음.webp,특수,아군의 모든 행독 속도를 점차 가속시킨다,"공격 속도 증가,이동속도 증가,스킬 시전속도 증가"
무작위 배틀 아이템 생성,버프_아이콘 없음.webp,강화,파티 전체에 효과를 주는 배틀 아이템을 무작위로 소환한다. 등장 가능한 배틀 아이템은 다음과 같다. (추가예정),"회복,SP 회복,피해량 증가,받는 피해량 감소,공격 속도 증가,SP 회복량 증가,고학년 쿨타임 감소,배틀 아이템 생성"
받는 일반 공격 피해량 감소,버프_아이콘 없음.webp,강화,받는 일반 피해량이 감소한다,받는 일반 공격 피해량 감소
버티기,버프_버티기.webp,특수,효과가 발동하는 동안 받는 피해가 일정 수치를 초과하지 않는다 ,"버티기, 피해 무효"
변이 면역,버프_아이콘 없음.webp,디버프 면역,변이에 면역이 된다,디버프 면역
변이 지속 시간 감소,버프_아이콘 없음.webp,디버프 면역,아군에게 걸리는 변이 지속 시간을 감소시킨다,디버프 면역
분신,버프_아이콘 없음.webp,소환수,무작위 적에게 마법 피해를 입히는 분신을 소환한다. 분신은 3회 피해를 받거나 시간이 지나면 파괴된다,소환
소환수,버프_아이콘 없음.webp,소환수,자체적인 체력을 가진 아군을 소환하여 공격한다,소환
용기,버프_용기.webp,특수,광기 성격이 용기로 승격되어 순수 성격 적에게 주는 피해량이 50% 증가한다,성격 승격
응원봉 생성,버프_아이콘 없음.webp,특수,"저학년, 고학년 스킬 사용 시 배틀 아이템 응원봉을 생성하여 피해량을 증가시킨다","피해량 증가,배틀 아이템 생성"
의형의 의지,버프_아이콘 없음.webp,특수,세바스티안에 올라타 기본 공격이 강화된다 ,기본 공격 강화
기본 공격 강화,버프_아이콘 없음.webp,특수,강화 공격 시전 확률이 증가하고 일반 공격 대상이 추가된다,기본 공격 강화
저학년 스킬 피해량 증가,버프_아이콘 없음.webp,강화,저학년 스킬의 피해량이 증가한다,저학년 스킬 피해량 증가
제어 면역,버프_아이콘 없음.webp,디버프 면역,"변이,기절,넉백,도발에 면역이 된다",디버프 면역
코인 추가 획득,버프_아이콘 없음.webp,특수,"침략 스테이지 시작 30 코인, 엘리아스 프론티어 보스 스테이지에서 90코인을 추가로 획득한다",코인 추가 획득
피해 무효,버프_아이콘 없음.webp,특수,"일정 시간 동안 전투불능에 이를 시, 이드가 해당 피해를 무효화하고 보호막을 부여한다","피해 무효,보호막"
피해량 증가,버프_피해량 증가.webp,강화,적에게 입히는 모든 피해량이 증가한다,피해량 증가
활발 성격 추가,버프_아이콘 없음.webp,특수,우이 편성 시 활발 성격 사도가 하나 더 있는 것으로 취급한다,성격 추가
회복,버프_아이콘 없음.webp,회복,체력을 회복한다,회복
이동 속도 증가,버프_이동 속도 증가.webp,강화,이동 속도가 증가한다,이동 속도 증가
만족스러운 연주,버프_만족스러운 연주.webp,강화,일반 공격 피해량과 공격 속도가 증가한다,"일반 공격 피해량 증가,공격 속도 증가"
뻗대기,버프_아이콘 없음.webp,특수,효과가 발동하는 동안 체력이 일정 수치 미만으로 내려가지 않는다,피해 무효
성전의 휘장,버프_성전의 휘장.webp,특수,네르(빡침)이 성전의 휘장을 소환하여 아군이 받는 피해 일부를 성전의 휘장에 전이시킨다,소환
집결,버프_집결.webp,특수,받은 피해량의 일부가 성전의 휘장으로 전이된다,받는 피해량 감소
헌신,버프_헌신.webp,특수,활발 성격이 용기로 승격되어 우울 성격 적에게 주는 피해량이 50% 증가한다,성격 승격
활발 성격 강화,버프_활발 성격 강화.webp,특수,"헌신과 용기 성격 아군의 최대 체력, 물리 공격력, 기본 SP 회복량을 증가시킨다","최대 체력 증가,물리 공격력 증가,SP 회복량 증가"
빡침,버프_빡침.webp,특수,네르(빡침)의 기본 공격이 강화되어 더 큰 피해를 입힌다.,기본 공격 강화
